imgnum,mid,text,label
1213,AqStjhlAd,"【让电脑提速的小方法】开始菜单里点击""运行""，输入gpedit.msc指令后确定，会出现一个小屏幕，然后单击计算机配置--管理模板--网络--QoS数据计划程序，选“限制可保留带宽”，“设置”选“已启用”，将“带宽限制”中的20改为0，“应用”，就可以使用100%的网速,因为平时Windows XP自动保留20%的网速。",1
4644,ymxdzcPzb,「推广上海话」拿有“坑爹”，阿拉有“侧那”。拿有“我勒个去”，阿拉有“娘冬菜”。拿有“神马”，阿拉有“撒么寺”。拿有“有木有”，阿拉有“有伐啦”。拿有“草尼玛”，阿拉有“拿摩温”。拿有“打酱油”，阿拉有“捣糨糊”。不求扩散！请在上海多多使用！[心]晚安！感谢关注@上海头条播报,0
1226,zmcZGsujX,【震惊：婴儿被害案另有隐情】周喜军儿子周磊为真凶，周磊平日游手好闲，江湖称号“经开三哥”。警察在带周喜军指认现场时发现可疑，确认是父亲替儿顶罪自首，今日周磊已归案。传因婴儿父亲与其女友有染，遂劫车杀人报复。图为周磊、周喜军及被盗车监控照片，大家看看到底是老子在开车还是儿子在开车。,1
3229,AtZ4wzbBf,【多地出新规：孩子出生超3月报户口需做亲子鉴定】近日网传“90天的新生儿若不做亲子鉴定，户籍部门不给上户口！”经调查显示，西安、银川等地确有相关规定。民警解释：“做亲子鉴定是为了证明孩子是你的，此政策主要是为防止贩卖儿童”。http://t.cn/8FIWzTH 网友：不知又要揭露多少真相啊……,0
46,A3CVvsplf,英国一摄影师捕捉到一印尼男子被洪水冲走的最后一刻！男子向镜头摆出了人生最后一个手势，以示对摄影师的尊重，对自己生命的畏惧。。震撼。。。 [转],1
659,zt9wGDEIN,一名中学生，叫周榆棍，17岁，请速回平山县医院，妈妈伤的很严重，想见她最后一面，爸爸号码：18332383039爱心接力， 好人有好报                                                                     雅安地震，求急转， 微博微信全用上,1
5043,zquNT0eHi,“每天都要打扮得能怎么漂亮就怎么漂亮才出门，因为你永远不知道今天会遇见谁。”无论你多少岁，读多少书，生得美不美，都要做个闪闪发光的漂亮姑娘。开心的时候要漂亮，不开心的时候更要漂亮！漂亮如果有秘诀，那就是：狠狠宠爱自己…,0
4695,Adcix817E,【组图：《城市猎人》林志颖马苏变身特工】电视剧《城市猎人》今日曝光特工版海报，主演@梦想家林志颖 和@马苏 身着黑衣，难掩光芒。该剧融合了喜剧、情感、动作、冒险等多元素，讲述一段抗日奇缘和民国秘史的故事。小志最近很忙噢~~更多组图：http://t.cn/zR4UocV,0
1282,yCqt5jB9c,中国人要明智！,1
5025,zcbABClIc,【神了！男子买别人弃票中500万 扔票人中800万】大乐透12146期江苏连云港中出两个大奖(500万和800万)。这两张彩票出自同一体彩站点，前后出票时间只差14秒。此前人们纷纷推测，十有八九是一人所中。得主现身揭开了谜底：500万得主是“捡”了800万得主不要的彩票所中。http://t.cn/zjHLJ0b 钱报网  ,0
4030,ADqDujmG7,鼠标用多了指头好僵硬，腕子也痛，我可不想成为‘鼠标手’的目标，还是按摩按摩吧，边工作边按摩，自己做自己的按摩医生。,0
2623,iUcYy4,中国的崛起，绝非前五百年西方列强的轮流称雄。他是东方的崛起，是另一种文明的崛起。人类历史的中心，将由西方转向东方。以神性为代表的西方文化将衰落，以人性为代表的中国文化将崛起。这次崛起的起点是1949年，拔动东西方文明大转移的巨人叫毛泽东。耶稣的时代就将终结，毛泽东的时代正在来临。,0
4269,AB5ymvGVt,#虎扑亮回复#“不能再败，我发誓下场不赢火箭30分，我名字倒着写！！！”——德韦恩韦德 http://t.cn/8sAWDBj,0
1337,z2e0C2FJx,【虐童幼师疑似微博骂网友】颜艳红：我已经反省完了，公安局也让我交5000元罚款姐都交完了，没姐什么事了，你们这些没素质的人就爱骂骂吧，洗澡睡觉，没人搭理你们了，一群没素质没教养的人，祝你们早日车祸撞死。这些绯言绯语，根本不是人话，也不是你们家的孩子，公安局处罚我也交了，有你们什么事呢,1
996,yqrME0hOv,【新版狸猫换太子】湖南衡阳四中高三理科学生肖颖，今年高考成绩出来后，发短信查询为695分，当晚班主任打电话告知也是695分。第二天网上查就只有229分，申请查分，教育局要学校出证明，而学校校长借口出差不见。肖为农家子弟，疑成绩被替换,1
5060,Axlxgjsnt,【布朗熊和可妮兔】愿你找到那个可以一起简单幸福下去的人......[心],0
2832,yBXGOsRPZ,【千娱千寻网声明】本网从即日起禁售一切日货，已把所有日本品牌下架。凡在本网购买日本产品而未收取产品的，本网将无条件退还全部费用。丢一笔生意，企业不会倒闭，丢一寸国土，却会失去全部尊严，特在此号召，在日本退出钓鱼岛之前，凡爱国网商请禁售日货。,0
2279,zwWSEqIgR,美国死囚乔·哈里斯，应在2012年11月27日下午两点执行死刑，死前最后一餐，他吃大了餐喝了红酒，没想突发脑溢血当场挂了，早死了40分钟。其亲属因此状告监狱，明知高血压还让喝酒，让他丧失了40分钟的美好生命。最后，官司赢了，亲属获赔350万美元。[bm抬腿]「坑爹事天天有，请关注@今天真坑爹 」,1
2244,ynGVeC5un,原来是真事啊[吃惊] ！！！新闻都报道了！！】4岁成都男孩划伤宝马，宝马车主打了小孩儿一耳光，奶奶叫来6辆奔驰砸毁宝马！！！然后爸爸来了把车买下，并且砸烂。[酷]    http://t.cn/zWPStih  【更多精彩尽在@全球最搞排行榜】,1
4939,drqkld,一张有海清和黄海波亲笔签名的彩票，和一张中了3000元的彩票，你更想要哪个？一位悲催男让海清和黄海波在自己的彩票上签名，没想到这张彩票中了3000元！福彩说：票面有污损不能兑奖！这位悲催哥惨呼：“我们家三口子还等我拿这3000块吃水煮鱼呐……”http://t.cn/hBbz9c,0
3282,ArxXR4ZNB,今天整理旧书旧报，发现了小学时代的回忆~真是老泪纵横啊哈哈哈！！这俩东西，有人买过吗...?,0
4730,yvm0bmcVl,"【奥运会再曝奇闻 开幕式中途日本被带离现场】伦敦开幕式各国代表团入场式上，按照惯例各国代表团绕场一周后会被引导到场地中央。但当天，日本代表团亮相后，却被直接引导出了体育场。各国运动员都站在场地中央集合时，日本代表已经不见了！对此日本奥委会称""这是奥组委的失误""。央视网杨翰宁编辑报道",0
3089,yupaYAw8U,#大娱快报# 大娱哥正在 @林俊杰 成都见面会现场。JJ送签名海报给大家！！！并且合影！！都是哪些幸运歌迷在合影里呢？ http://t.cn/zOSahaE,0
4171,A7b971h3e,#观察#【广州一网民造谣污蔑“狼牙山五壮士”被行拘】广州越秀警方30日通报，广州一网民近日在网络上虚构信息、散布谣言，污蔑“狼牙山五壮士”，被警方依法予以行政拘留7日。该网民发布信息称“狼牙山五壮士实际上是几个土八路，欺压村民引起不满。”（新华网）http://t.cn/z8b5xt6,0
3422,z48TtzLlX,"#Aomiz#妞更新IG.简单的微笑能予以人正能量.[嘻嘻]希望妞能将不好的都遗忘,仅仅记住喜欢她的粉丝对她的爱与支持不变[爱你][爱你]",0
4028,zeCFppMSl,【凤凰夜读】寻求心灵的宁静，前提是首先要有一个心灵。在理论上，人人都有一个心灵，但事实上却不尽然。有一些人，他们永远被外界的力量左右着，永远生活在喧闹的外部世界里，未尝有真正的内心生活。周国平《记住回家的路》,0
2804,AdzXTh4aV,为了增强运动，专门去商场买了一双跑步鞋，还买了一双徒步鞋，还买了一双网球鞋，还买了一双足球鞋，还买了一副乒乓球拍，还买了一副羽毛球拍，还买了一副网球拍，还买了一辆准专业级别的自行车，还买了护膝、护腕、头巾、水壶、指南针、攀岩绳……然后兴高采烈地打麻将去了。,0
3241,zfXpklgyO,#新刊预告# 《印度商业线报》总编辑G.昌德拉施卡，认为：“印度的社会制度和经济状况都是印度国民性的正常结果，是印度历史的一种延续。”既然如此，我们就从其历史出发，了解它的文化，探求印度为什么会变成今天的样子，它的人民为什么那么骄傲...http://t.cn/zYhGE2v ,0
1186,yBgjisa4i,洋毒食——国家质检总局进口不合格食品黑榜：挪威的大西洋鲑鱼，检出副溶血性弧菌，被销毁。韩国进口的乐天牌巧克力粒，德国进口的欧尚85%黑巧克力，均发现铜超标，被退货或销毁。丹麦奇新蓝罐有限公司生产的曲奇(饼干)，大肠菌群超标，被销毁。（北京晚报）,1
3304,z0l2MsLRi,【星闻】#BigBang权志龙#出演《写生簿》 将和#2NE1孔敏智#合作表演-- 回归后在音乐节目中表演主打歌《CRAYON》的GD，在《写生簿》中将与同公司的2NE1成员孔敏智(的中娱微博)联合表演新歌《Missing You》。上周GD出演《写生簿》的消息传出后，9日晚录影旁听申请者竞争率达到75:1是历史最高。@韩国音乐榜,0
904,yCK8a2Aao,爱尔兰瑞尔航空公司昨天公布的新LOGO。。。 有人可以解释一下伐。。。[bed凌乱] ​,1
460,zhBaFc8Uk,#盖梆内幕揭秘#谁来监管反贪局？审计厅？盖梆打狗棒伺候！河北审计厅厅长助理董建柱从8楼女部下家裸体逃跑！为一时的快活，河北审计厅厅长助理董建柱跟女下属偷欢时被女部下的爱人堵在门外，情急之下不得不从8楼女部下家窗户爬出裸体逃跑，洋相百出BY@焦点河北@贾海红@徐昕@王克勤@历史袁老师归来@老沉,1
2716,zmohsmSBb,@一一菌 ：我的偶像会模仿杰克·尼科尔森！像就不说了 最后一个表情笑尿 哈哈哈哈！,0
4172,z6Jfxg9Xb,#每周最佳音粤歌曲#【粵語歌推荐】---@dearjanejackal 《到此為止》MV #男仔都有心酸既时候！http://t.cn/zlecot2 我再没勇气向你讲旧时 没有勇气相爱另一次 为你将睡眠忘记通宵倾谈 但已经顿成往事 还是记起无道理的 对骂是年纪小的不智 今天你能忘记 只得我怀念多麽讽刺。(via:@--KobePakho ),0
4702,youdu9Mf7,【最懒蛋糕做法】将5只鸡蛋加上四勺糖（不加水）再加面粉或少量发酵粉，搅拌后直接倒进电饭锅里，按下煮饭直到电饭锅直接跳到保温后翻过来再烫一下就变成现在看到的两边都有点虎皮效 果...这个好方 便..,0
4365,zjlII5Z7n,【絮语】我们恨贪官，又拼命报公务员；我们骂垄断，又削减脑袋往高薪单位钻；我们讥讽不正之风，自己办事却忙找关系。总之，我们愤怒，不是因为不公平，而是自己处在不公平中的不利位置，我们不是想消灭这种不公平，而是想让自己处在不公平中的有利位置……（zz）,0
1537,znlqc78FC,1996年在澳大利亚悉尼，一只野狗在水库大便，结果当地水务局鉴定水质污染，悉尼水业在电视台和报社打广告，告诉大家自来水被污染——2013年在中国上海，几千头死猪出现在黄浦江，结果当地水务局宣布水质没有问题... via@1句实话,1
4477,zlkf6j395,【你好，明天】大风驱散雾霾，却带来沙尘，天空从灰白到土黄，让人不禁疑惑：蓝天白云，究竟离我们有多远？必须警醒：透支环境的GDP不可持续，发展不能以未来为代价。美丽中国，不能光说不练。是时候了，行动起来，为子孙留一片青山绿水。现在就行动，也许还不晚。安。,0
3155,zk6P2ap7E,Google公布了一段新的Google Glass视频，看完让人对这款尚未面世的产品无比期待。片中展示了各种适用Google Glass的场景，录下骑马、打乒乓、剑道、耍杂技的实况？没问题。滑雪、骑车、开车不认识路？都能导航。随时拍照录像发邮件短信。大家自己感受一下Glass的强大吧~~Ok Glass http://t.cn/zY9qA2U,0
2698,jy6HYt,年仅13歲的男模！！,0
3044,A6qSc5Cpq,【男儿当自强！19岁男孩暑假当保安挣学费】因家境贫困，为赚大学入学学费，19岁重庆男孩陈柯宇，在暑假当了近40天保安。除收获3000元报酬外，他还学会尽责和有礼，感悟到生活的不易。陈柯宇说自己一定会发奋努力，让母亲过上好日子。即将入学的新生，你做好经济独立的准备了吗？http://t.cn/z8zMe1q,0
2245,ztccO1aiM,【真相】[弱]【中国红十字会总会是唯一不加入国际红十字会的会员国】加入国际红十字会就必须在人事安排、行动、管理等方面符合国际规格，且账目必须向国际红十字会公开，有司认为这是干涉我国内政。我们这个隶属于民政部的红十字会是山寨的。,1
5011,yiJwH52DE,#北京曝光# @倍儿小爽 ：今天回家路上接到老妈电话，老妈冒雨给我送饭，拿到饭我让老妈打车回去，打了辆车老妈上去后我跟师傅说去丽都饭店司机犹豫了下说不认识，我就仔细跟他说了路线他说还是不认识，我说下着雨不好打车您帮我送我妈回去，他改口说他的车被包了，没办法我妈只好下车。,0
2902,ynrLqfXHo,6月17日是父亲节！听说凡是在父亲节前转发这平安符的能保佑爸爸工作顺利，身体健康，平平安安！为我那善良的爸爸转一个！！,0
5129,yeMqIEGrW,发完信息后，第1分钟觉得他在看；第2分钟觉得他在回复；第3分钟检查自己有新消息没；第4分钟想他为啥回复那么慢；第5分钟安慰自己说他没看到；第6分钟收起手机等待；第7分钟掏出手机看，以为过了很久；第8分钟开始灰心，觉得他不会回复了；第9分钟好心情完全被破坏…对在乎的人会不会这样  ,0
817,z8ZEcgwpb,【CCTV今儿播出交通新规】1 闯红灯记6分罚100元。2 酒驾记12分5年内不得再考取驾照。3 不系安全带记3分罚100元。4 副驾不系安全带记1分罚50元。5 行驶中拨打手机记3分罚100元。6 行驶中抽烟记1分罚100元。7 有意遮挡号牌记12分，顶额处罚。8 超速驾驶记6分。9 副驾驶有不满14周岁乘坐的记6分罚300元。,1
4227,yizINDlYP,别问我是否还是朋友，那些美好或伤心的过往，在分手一刻就碎了一地，拼不回昨天，也撑不起友情的明天；别再试探你在我心中的位置，你见过我爱得最傻的模样的，是怎样不留后路，破釜沉舟；别祝我幸福，这个世界上最没资格说这句话的人就是你。记住，你一定要幸福，否则辜负了我的退出。,0
4248,ydpz1DRQ6,#天声一队#周笔畅 李尚尚 朱家明《牵手》高清视频 http://t.cn/zOKDB0f,0
3844,ydGmxeIvu,迷恋这所有色相中最能发光的色彩，黄色代表希望，给人清澈明亮。也许我们都是一只小鸟，张开翅膀，向往美好生活。——分享自杂 志【最爱美美暖暖的黄】>>>链接：http://t.cn/zO9jLCS,0
4021,yFeyYgu1S,【 儿童萌版：国家德比 】http://t.cn/zlx3MTa 他们现在都恩英俊潇洒！可儿时的他们极具“萌”态。10月8日，他们会再度上演 “国家德比”！！！请届时请收看国内速度最快的网络直播：http://t.cn/zlXuzcy （高清同秒）,0
254,zsZvJgVVC,04月20日08时02分【四川雅安发生7级地震】祈祷平安！[蜡烛][蜡烛][蜡烛][蜡烛],1
3049,zjz154t8B,#虹讯出墙#记者从绵阳获悉，在工业和信息化部指导下，由“国家信息产业公共服务平台”、“国家软件公共服务平台”等十大国家级公共服务平台联合主办的中国信息产业2012年度“创新”贡献奖榜单正式揭晓，长虹获“2012年企业信息化特殊贡献奖”，成唯一获此殊荣的企业。http://t.cn/zYXsiN9,0
3777,Ai8O8xZQl,皮下被这柔情的一吻震撼到了....我们猜测过这俩是互相看不惯的父子关系、小舅子和姑爷的纠结关系等等种种...但是此刻只想大吼一声：真相到底是什么？！[偷笑],0
3172,jpkLcg,庆乐Phone上市一周年，微博有奖转发活动第二季“快乐疯转 音乐风迷”魅力开启，奖品为联想乐Phone手机一部及张学友沈阳演唱会门票，参加方式：转发本微博并@3位好友，发布#预存话费后、乐Phone 0元购；购乐Phone手机、送你话费好礼#话题，就有机会赢得超值奖品哦！详情请看http://t.cn/aK2Kwd,0
4299,zhPsG6ukp,【你好，明天】年，一天天近了。在奔波的路人心中，家就是一扇门、几间屋。可对房姐、房爷来说，门有几多、屋有几何？人不能和人比，可制度应平等对待每个人。改革收入分配，政府不能简单切蛋糕，更要致力于公平规则的建立。公权一旦成为特殊群体的利益垄断工具，将肥了少数人、苦了天下人。安。,0
1842,yExC4vBdR,【敢吃大闸蟹的人，是世界上最“勇敢”的人】《壹周刊》记者把12只大闸蟹送去化验，结果发现11个样本有土霉素，6个样本有氯霉素。土霉素属“过时”抗菌素；而氯霉素属香港违禁物质，因会压抑骨髓功能，导致贫血、抵抗力下降和凝血困难问题。孕妇吃了含有土霉素的毒蟹，胎儿的骨质会变灰、变脆。,1
4454,hV50ek,【世界上最贵的羽毛球亮相苏迪曼杯】在刚刚结束的鹿特丹世乒赛上，我们看到了世界上最贵的乒乓球，每只价值30元。正在酣战中的青岛苏迪曼杯，我们又看到了世界上最贵的羽毛球，不仅每只造价超过30元，而且全部为非卖品。制造一只这样的天价羽毛球，至少需要8只鹅！http://t.cn/heFnqa,0
3156,zCF0XzGqh,#晚间分享#【积极生活的奥秘，你知道吗？】1.对于工作，我们努力但不痴狂；2.对于购物，我们量力而不攀比；3.对于娱乐，我们爱好但不丧志；4.对于家庭，我们忠诚但不刻板；5.对于金钱，我们喜爱但不贪婪；6.对于享受，我们追逐但不放纵；7.对于爱情，我们相信但不迷失。各位晚安，[拜拜],0
3389,AA4w96tM3,人民网：失联航班或有乘客冒充他人混上飞机。详见新闻截图,0
2158,z1uAU2EdL,【是谁给了中国人双休日】 1994年前后，中美入世谈判最艰难的时刻，美方突然向中方提出：在全世界都实行双休日的今天，中国必须尊重人权，也给中国人双休日，并把这一项作为入世条件之一。于是，1995年5月1日起，我国开始实行双休日工作制。我们到底应该感谢谁？,1
2149,zqJh3h9D8,#微信收费# 网上热传，微信收费将于7月1日开始，收费标准信息5分条，语音1毛条。如果是真的，你还会用吗？[泪],1
3874,yzAYmcEnA,史记.娱乐圈志.#周杰伦#列传     杰伦，杰伦（分享自 @长微博工具）,0
4630,yDyvAwmO1,【潮汕过节】潮汕的那些中秋夜！[满月]今年中秋，你回家么？　@全球潮汕,0
2191,zvuuZiib0,【@郭美美Baby 死于澳门，你信吗？】网友 @Tinysalt 微博爆料:郭美美死于澳门，称消息已封锁长达半个月，亲属已进行交涉，骨火六月将送回大陆！,1
4936,A59bB0f2e,#微抢发#【 怒！摔死女童惨剧又在河南重演】法制晚报讯，河南林州一民警，酗酒后突然抢走街上一男子怀里7个月大的女婴，高高举过头顶后猛摔在地。事件发生后，涉事民警仅受到关禁闭15天的警务纪律处罚。目前女婴已住院，需进一步观察。  孩子有什么错？ 丧心病狂！,0
1197,ztcoMz3IY,#雅安灾情#【伟大母亲 为救儿子身亡】雅安芦山县灾区的废墟中，一个八岁小男孩被救出，但她母亲却保护儿子而遇难，儿子才没有砸到。这个小男孩叫做杨宇杰，他母亲叫杨双梅（音），37岁。伟大的母亲，一路走好！(via鲁国平先生),1
603,z1xVV02xM,【劲爆：宁波劈腿楼。。。】这是宁波东部新城门户区2B-U地块，即将落成的西班牙设计师的超现实作品。主刀结构设计的是设计央视大裤衩的结构工程师。绝对是技术帝啊，怎么解决会拐弯的电梯呢？？地产人给的评语是：技术难题不可怕，可怕的是这难题竟然给攻破了啊！亲，你上班会害怕吗？？ by@徐明达FC  ,1
133,A30oxbhKj,【“越南乳瓜”来了 你敢吃么？】神奇的越南乳瓜，神似女性的乳房，颜色略呈粉色。乳瓜成熟果实含葡萄糖、果糖、蔗糖、胡萝卜素、维生素C、酒石酸、枸椽酸、苹果酸等。营养价值也很高。越南商务部发言人说，预计适当时间这种瓜果会大量进入中国市场，流入千家万户的餐桌。越南乳瓜你敢吃吗？[吃惊],1
4849,lfcoXA,［国际法］红色高棉在1975年至1979年当政时期被指实行血腥统治，导致近200万人死亡。时任人大委员长农谢、国家主席乔森潘、外交部长英萨利及其妻子社会事务部长英蒂迪4人被指控犯有灭绝种族罪、危害人类罪、严重违反《日内瓦公约》的罪行以及违反1956年柬埔寨刑法的谋杀、酷刑和宗教迫害等罪行。,0
12,yD3RuCTdn,爱尔兰瑞尔航空公司今早公布的新LOGO…你们赢了！,1
2328,znP6n42pI,【张国荣真实死因将公布】今年4月1日是张国荣逝世十周年，其生前好友兼经纪人陈淑芬将宣布一个保守了十年的秘密。据媒体报道，张国荣系他杀，当时警方在香港旺角将犯罪嫌疑人周峰国抓获。香港警方称，当时抓捕活动只用了两个小时，且掌握了大量证据证明张国荣是周峰国所杀。,1
1553,znKVT43Qy,"全球发出警示！请传出去！ 隐翅虫，在你身上时绝对不要打，她身上有 毒液，接触到皮肤，就死定了！ 跟你的孩 子、朋友讲，万一身上有这虫，用嘴巴轻轻 吹走就好。绝对不要用手打. 医师强调,如果 每个收到这份邮件的人,能够转发十份给其他 人,肯定至少有一条生命将会被挽救回来,请 转寄转发！别只存档！",1
3540,Axlxn1AMU,"小時候,總是很在意别人的看法和感觉.長大了,才理解原來這一切來自於父母.當認清這一點,我就放開了.因為那是他們的問題,不是我的天性,我不善於爭議,也不喜歡跟人比較,評論別人如何.今天跑步的時候,想起人生不同階段經歷的種種,很開心我用自己的步伐走到這裡,願你們都能放下外在束縛,走屬於自己的路~",0
5120,zuBncDFUN,#历史上的今天#【芝加哥工人大罢工——“五一节”的由来】1886年5月1日，芝加哥21万余名工人为争取实行八小时工作制而举行大罢工，经过艰苦的流血斗争，终于获得了胜利。为纪念这次伟大的工人运动，1889年7月第二国际宣布将每年的五月一日定为国际劳动节。http://t.cn/zTpDAkj,0
97,Az8JlovuG,朋友们远离穿这种图案服装的人，发给你的家人、爱人、朋友，如果见到请立即报警。 ​,1
1049,ABrSf6qoI,相声演员侯耀华发的，不是我发的！,1
4525,yi7LA7w6d,恭贺@郭培 老师「龙的故事」高级定制时装发布会完美落幕！奢华舞台雍容大气，饕餮盛宴美伦美奂！这就是属于我们「中国新娘」的精彩！[赞],0
4461,AvuPlEwdl,【竟有此事！襄阳幼童惨遭二妈割掉双耳[怒]】今日有网友爆料：“在湖北襄阳，因家里起了点小争执，这个无辜孩子被自己的二妈割掉耳朵，下巴也被砍了……”@楚天都市报 记者求证得知，案件属实，男童今年仅6岁，被骗至无人处割掉双耳，左耳被丢进草丛已坏死。二妈张某已被刑拘。为可怜的孩子祈福~[心],0
1757,ADx2dFazP,听说文章同学 道歉贴是抄袭高晓松 的，这是什么节奏啊，要不要这莫叼！能不能有点诚意！我只想说是哪个公关公司帮你做的公关！能不能专业一点，不要犯这样低级的错误！[挖鼻屎]（转）,1
2268,yAMQnh5nK,洋毒食——国家质检总局进口不合格食品黑榜：挪威的大西洋鲑鱼，检出副溶血性弧菌，被销毁。韩国进口的乐天牌巧克力粒，德国进口的欧尚85%黑巧克力，均发现铜超标，被退货或销毁。丹麦奇新蓝罐有限公司生产的曲奇(饼干)，大肠菌群超标，被销毁。（via北京晚报）,1
498,yzpGbb5su,三星屌爆了，与苹果的官司让三星赔偿十亿美元，于是三星在今天早上用30辆卡车运载了价值十亿美元的五美分硬币送到了苹果公司总部！整整30辆卡车的硬币啊！三星从哪搜集的啊？哪家银行愿意收这30车硬币啊？苹果怎么数钱？按斤称吗？还是专门发明一种机器来数硬币啊？,1
1658,A0Eib8lh1,#临武小贩之死#【开眼了，长见识了！】临武县委副书记、县长贺遵庆个人资料简历：其中有两句“在职研究生学历，维稳学硕士学位”。// @杜芝富 ：这就好理解了为什么会抢尸了。// @隆裕太后 :＂紫薇花开百日红，轻抚枝干全树动＂临武以紫薇闻名，紫薇象征爱和好运。贺遵庆你爱谁了?你的＂好运＂临头了。,1
2853,ApAHmk1PO,何为平淡才是真？当你欢愉的时候，回头看到他在身边。午夜梦回，泪湿了枕巾，他在旁边，伸手就能触摸到温热的身体，听到他的呼吸，瞬间一颗心落回到胸腔里。世间女子，最终求的，不过是如此。—— 十二《不畏将来 不念过去》,0
1322,yCpETcuw7,果然是小日本在搞鬼！,1
3541,zk6SQA2mU,【万名AV明星及其演艺事业的调查】网络成人电影数据库囊括了12万5千部AV电影以及11万5千AV演员和导演的资料，这是历史上从该数据库中选取万名AV影星样本，分析他们的特点和事业，来研究常见演员的样貌、他们在片子里面做什么、以及他们的角色在过去几十年的演变。via：@谷大白话,0
3688,zjWvqgnm0,我的一千零一夜之第412夜：困难怕啥？！克服了重新来过了就好了嘛！只要坚强一点点，勇敢一点点，智慧一点点，你的进步就远不止那么一点点哦[呲牙][偷笑],0
2309,yAKkW5pMt,【调查地沟油的记者李翔，死了】身中10余刀，惨死。他为全国不能吃特供的十多亿草泥马的食品安全努力过。他付出了年轻的生命。草泥马们，请动一下鼠标，转发，表达一下谢意。不过分吧？恭请转发！！！[蜡烛] via:传媒女生(>>>>>关注@成都好吃团),1
4831,A3ZTpivp5,【苍劲有力绘科普 核电书法融益彰】8月7日上午，应中核辽宁核电有限公司和葫芦岛老科协之邀，辽宁省职工书法家协会副主席许凤桐到访辽宁核电，以“书法作品赞核电”的形式宣传核电科普知识，支持徐大堡核电项目建设。,0
2603,ynTj2n09f,【讣告】宇扬评剧苑讯：中国评剧一代宗师、洪派小生创始人、评剧非物质文化遗产传承人、评剧终身成就奖获得者洪影先生于2012年6月14日晚上8点30分在唐山的河北联大附属医院病逝，享年83岁。 家属决定，将于16日上午在唐山举行告别仪式。,0
246,zt4jWvUOO,今天在震区，1只小熊猫紧紧抱住警察叔叔的腿。。。,1
